match_id,date,league,home_team,away_team,odds_home,odds_draw,odds_away,xg_home,xg_away,injury_flag,line_move,actual_result
m0001,2025-08-01,EPL,Arsenal,Chelsea,1.95,3.45,4.10,1.75,1.10,0,0.05,H
m0002,2025-08-02,EPL,Liverpool,Everton,1.70,3.70,5.20,2.10,0.95,0,0.02,H
m0003,2025-08-03,EPL,ManCity,Tottenham,1.55,4.10,6.20,2.35,1.05,0,-0.08,H
m0004,2025-08-04,EPL,Newcastle,WestHam,2.25,3.30,3.30,1.35,1.20,1,0.18,D
m0005,2025-08-05,EPL,Brighton,Villa,2.40,3.35,2.95,1.40,1.55,0,0.12,A
m0006,2025-08-06,EPL,Brentford,Fulham,2.55,3.25,2.80,1.10,1.25,0,0.06,A
m0007,2025-08-07,EPL,Forest,Bournemouth,2.70,3.10,2.70,1.05,1.05,0,0.00,D
m0008,2025-08-08,EPL,Wolves,Palace,2.60,3.15,2.85,1.20,1.20,1,-0.22,D
m0009,2025-08-09,EPL,Leeds,Sunderland,2.05,3.40,3.85,1.55,1.05,0,0.09,H
m0010,2025-08-10,EPL,Burnley,SheffieldU,2.35,3.25,3.15,1.30,1.10,0,0.04,H
m0011,2025-08-11,LaLiga,RealMadrid,Sevilla,1.50,4.20,6.80,2.25,0.95,0,0.07,H
m0012,2025-08-12,LaLiga,Barcelona,Valencia,1.62,3.95,5.80,2.05,0.90,1,0.20,H
m0013,2025-08-13,LaLiga,Atleti,Betis,1.85,3.50,4.30,1.70,1.05,0,-0.05,H
m0014,2025-08-14,LaLiga,Villarreal,Athletic,2.40,3.25,3.05,1.35,1.35,0,0.03,D
m0015,2025-08-15,LaLiga,Sociedad,Celta,2.10,3.35,3.70,1.55,1.05,0,0.10,H
m0016,2025-08-16,SerieA,Inter,Roma,1.78,3.55,4.60,1.95,1.10,0,-0.06,H
m0017,2025-08-17,SerieA,Milan,Lazio,2.05,3.35,3.85,1.55,1.25,0,0.08,D
m0018,2025-08-18,SerieA,Juventus,Napoli,2.35,3.20,3.20,1.35,1.40,1,-0.28,A
m0019,2025-08-19,SerieA,Atalanta,Fiorentina,2.15,3.35,3.55,1.60,1.20,0,0.11,H
m0020,2025-08-20,SerieA,Torino,Bologna,2.75,3.05,2.75,1.00,1.05,0,0.01,D
m0021,2025-08-21,Bundesliga,Bayern,Leipzig,1.60,4.00,5.60,2.30,1.10,0,-0.04,H
m0022,2025-08-22,Bundesliga,Dortmund,Leverkusen,2.10,3.55,3.20,1.65,1.55,0,0.15,D
m0023,2025-08-23,Bundesliga,Frankfurt,Stuttgart,2.45,3.35,2.90,1.30,1.45,0,0.05,A
m0024,2025-08-24,Bundesliga,Freiburg,Union,2.35,3.15,3.30,1.25,1.15,1,0.24,H
m0025,2025-08-25,Ligue1,PSG,Lyon,1.55,4.10,6.40,2.20,1.05,0,-0.10,H
m0026,2025-08-26,Ligue1,Marseille,Monaco,2.45,3.40,2.85,1.35,1.50,0,0.18,A
m0027,2025-08-27,Ligue1,Rennes,Lille,2.55,3.15,2.90,1.20,1.25,0,0.02,D
m0028,2025-08-28,Ligue1,Nice,Lens,2.60,3.10,2.85,1.15,1.20,1,-0.26,A
m0029,2025-08-29,EPL,Arsenal,ManCity,2.80,3.35,2.45,1.25,1.80,0,0.14,A
m0030,2025-08-30,LaLiga,Sevilla,Barcelona,3.60,3.55,1.95,1.10,1.75,0,-0.12,A
m0031,2025-08-31,SerieA,Roma,Juventus,2.95,3.15,2.55,1.15,1.35,0,0.05,A
m0032,2025-09-01,Bundesliga,Leipzig,Dortmund,2.55,3.55,2.65,1.45,1.45,0,-0.02,D
m0033,2025-09-02,Ligue1,Lyon,Marseille,2.40,3.35,3.05,1.35,1.30,0,0.06,H
m0034,2025-09-03,EPL,Chelsea,Liverpool,2.65,3.30,2.70,1.40,1.45,1,0.27,A
m0035,2025-09-04,LaLiga,Valencia,Atleti,3.35,3.15,2.30,1.05,1.45,0,0.09,A
m0036,2025-09-05,SerieA,Napoli,Inter,2.70,3.25,2.65,1.45,1.55,0,0.03,D
